Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),April 2013 to March 2014: volume,April 2013 to March 2014: digital volume,April 2013 to March 2014: cost per transaction (£),July 2013 to June 2014: volume,July 2013 to June 2014: digital volume,July 2013 to June 2014: cost per transaction (£),October 2013 to September 2014: volume,October 2013 to September 2014: digital volume,October 2013 to September 2014: cost per transaction (£),January 2014 to December 2015: volume,January 2014 to December 2015: digital volume,January 2014 to December 2015: cost per transaction (£),April 2014 to March 2015: volume,April 2014 to March 2015: digital volume,April 2014 to March 2015: cost per transaction (£),July 2014 to June 2015: volume,July 2014 to June 2015: digital volume,July 2014 to June 2015: cost per transaction (£),October 2014 to September 2015: volume,October 2014 to September 2015: digital volume,October 2014 to September 2015: cost per transaction (£),January 2015 to December 2015: volume,January 2015 to December 2015: digital volume,January 2015 to December 2015: cost per transaction (£),April 2015 to March 2016: volume,April 2015 to March 2016: digital volume,April 2015 to March 2016: cost per transaction (£),July 2015 to June 2016: volume,July 2015 to June 2016: digital volume,July 2015 to June 2016: cost per transaction (£),October 2015 to September 2016: volume,October 2015 to September 2016: digital volume,October 2015 to September 2016: cost per transaction (£),January 2016 to December 2016: volume,January 2016 to December 2016: digital volume,January 2016 to December 2016: cost per transaction (£),April 2016 to March 2017: volume,April 2016 to March 2017: digital volume,April 2016 to March 2017: cost per transaction (£),July 2016 to June 2017: volume,July 2016 to June 2017: digital volume,July 2016 to June 2017: cost per transaction (£),October 2016 to September 2017: volume,October 2016 to September 2017: digital volume,October 2016 to September 2017: cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
Department of Health and Social Care,DHSC,Human Tissue Authority,HTA,Human Tissue Authority: licensing applications,,,,,,,,,,51,,,19,,,19,,,17,,,19,,,16,,,20,,,21,,,19,,,18,,,,,,21,,,25,,,,,,,,,12,,,15,,,,,,,,Data for applications to be licensed by the Human Tissue Authority.,,Excludes ODT applications which are via the Portal.,Business,[not provided]
Department of Health and Social Care,DHSC,NHS Business Services Authority,NHSBSA,Maternity exemption (MATEX) certificate applications,,,,,,,463431,,2.33,460609,0,2.57,459749,0,2.34,460140,0,2.35,464893,0,,462408,0,2.66,460216,0,2.60,460177,0,2.52,462396,0,2.52,465989,0,2.41,469680,0,2.44,471641,0,2.50,470256,0,2.46,475739,0,2.52,477245,0,2.45,484140,0,2.42,492212,224,2.5104,485858,590,2.6200,,,,Registering,http://www.nhsbsa.nhs.uk/1039.aspx,Data for applications for maternity exemption (MATEX) certificates for pregnant women and women who have had a baby in the last 12 months.,"The administration of prepayment certificates, medical exemption certificates (MEDEX) and maternity exemption (MATEX) certificates is a single process, so costs have been apportioned according to application volumes.<br>Average cost per transaction includes:<br> - postage, excluding the cost of stationery<br> - staff (estimated cost of salaries, pensions and National Insurance contributions for staff directly involved in the process)<br> - overheads - all related administrative expenditure, including management, information technology maintenance and estates; capital expenditure, including IT development costs and depreciation, are excluded<br> - printing and distribution.<br>Total cost figure may not be precise due to rounding.",The NHS Business Services Authority administers Maternity Exemption Certificates for England only.<br>The MATEX certificate is required for free NHS prescriptions. A certificate can also be used as proof of entitlement to free NHS dental treatment.<br><br>Digital transactions are applications that were processed automatically rather than being via an online route.,Individuals,Taxpayers
Department of Health and Social Care,DHSC,NHS Business Services Authority,NHSBSA,Medical exemption (MEDEX) certificate applications,,,,,,,339440,77429,2.33,359151,0,2.57,374579,0,2.34,375389,0,2.35,387207,0,2.46,390369,0,2.66,388471,0,2.60,399127,0,2.52,420647,0,2.52,433210,0,2.41,443555,0,2.44,446711,0,2.50,425186,0,2.46,422653,0,2.52,425528,0,2.45,429819,0,2.42,433848,0,2.5104,424258,0,2.6200,,,,Registering,http://www.nhsbsa.nhs.uk/1126.aspx,Data for applications for medical exemption (MEDEX) certificates for people with certain medical conditions. Holders of MEDEX certificates can get free NHS prescriptions.,"The administration of prepayment certificates, medical exemption certificates (MEDEX) and maternity exemption (MATEX) certificates is a single process, so costs have been apportioned according to application volumes.<br>Average cost per transaction includes:<br> - postage, excluding the cost of stationery<br> - staff (estimated cost of salaries, pensions and National Insurance contributions for staff directly involved in the process)<br> - overheads - all related administrative expenditure, including management, information technology maintenance and estates; capital expenditure, including IT development costs and depreciation, are excluded<br> - printing and distribution<br>Total cost figure may not be precise due to rounding.","Data is for England only.<br>Volumes recorded for medical certificates issued can change retrospectively because:
<br>1. Certificates can be back dated by one month from the date of application received at NHSBSA.  
<br>2. Incomplete applications are returned to the customer; when the application is returned the original date is used to determine the start date.<br><br>Digital transactions are applications that were processed automatically rather than being via an online route.",Individuals,Taxpayers
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Reports of medicines offences,,,,,,,,,,3233,,,3057,,,2853,,,2924,,,3254,,,3590,,,4111,,,4396,,,4102,,,4561,,,4398,,,3834,,,3603,,,2765,,,2380,,,3053,,,3770,,,,,,,,Data for reports of medicines offences.,,,[not provided],[not provided]
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Medicines and Healthcare Regulatory Agency (MHRA) licence: cancellations,,,,,,,1200,587,,1930,,,1899,,,1738,,,1565,,,1446,,,1275,,,1394,,,1606,,,1989,,,2246,,,2103,,,1799,,,1659,,,1551,,,1520,,,1997,,,2117,,,,,,Requesting a licence or consent,https://services.intralinks.com/logon.html?clientID=3997623225,Data for submissions from the pharmaceutical industry to MHRA for licence cancellations.,,,Business,[not provided]
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Medicines and Healthcare Regulatory Agency (MHRA) licence: change of ownership,,,,,,,600,303,,695,,,762,,,669,,,649,,,603,,,486,,,699,,,768,,,1082,,,1121,,,1022,,,989,,,805,,,830,,,793,,,792,,,802,,,,,,Requesting a licence or consent,https://services.intralinks.com/logon.html?clientID=3997623225,Data for submissions from the pharmaceutical industry to MHRA for change of licence ownership.,,,Business,[not provided]
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Medicines and Healthcare Regulatory Agency (MHRA) licence: information updates,,,,,,,18000,8921,,15406,,,13549,,,11704,,,7206,,,7790,,,7827,,,7714,,,7932,,,8250,,,8189,,,7491,,,7329,,,6499,,,6224,,,5728,,,5794,,,5925,,,,,,Requesting a licence or consent,https://services.intralinks.com/logon.html?clientID=3997623225,"Data for updates to licences, submitted from the pharmaceutical industry to the Medicines and Healthcare products Regulatory Agency.",,,Business,[not provided]
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Medicines and Healthcare Regulatory Agency (MHRA) licence: initial applications,,,,,,,2000,1034,,1688,,,1829,,,1704,,,1738,,,1573,,,1517,,,1519,,,1386,,,1589,,,1622,,,1929,,,2071,,,2160,,,2221,,,2010,,,2080,,,2053,,,,,,Requesting a licence or consent,https://services.intralinks.com/logon.html?clientID=3997623225,Data for submissions from the pharmaceutical industry to MHRA for initial licence applications.,,,Business,[not provided]
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Medicines and Healthcare Regulatory Agency (MHRA) licence: labels and leaflets,,,,,,,1500,771,,1937,,,1582,,,1535,,,1545,,,1517,,,1607,,,1581,,,1497,,,1461,,,1309,,,1429,,,1262,,,1129,,,1132,,,799,,,909,,,1056,,,,,,Requesting a licence or consent,https://services.intralinks.com/logon.html?clientID=3997623225,Data for submissions from the pharmaceutical industry to MHRA for labels and leaflets relating to licences.,,,Business,[not provided]
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Medicines and Healthcare Regulatory Agency (MHRA) licence: product safety updates,,,,,,,3400,1690,,1832,,,1275,,,1280,,,1201,,,1364,,,1322,,,1127,,,1099,,,1137,,,1063,,,1141,,,1045,,,862,,,706,,,411,,,289,,,10,,,,,,Requesting a licence or consent,https://services.intralinks.com/logon.html?clientID=3997623225,Data for submissions from the pharmaceutical industry to MHRA for product safety updates relating to licences.,,,Business,[not provided]
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Medicines and Healthcare Regulatory Agency (MHRA) licence: renewals,,,,,,,3200,1626,,1804,,,1531,,,1332,,,1642,,,1512,,,1560,,,1606,,,1061,,,1672,,,1935,,,2207,,,2383,,,1812,,,1558,,,1428,,,1848,,,2083,,,,,,Requesting a licence or consent,https://services.intralinks.com/logon.html?clientID=3997623225,Data for submissions from the pharmaceutical industry to MHRA for licence renewals.,,,Business,[not provided]
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Medicines and Healthcare Regulatory Agency (MHRA) licence: variations,,,,,,,34000,16772,,21924,,,21169,,,19520,,,19813,,,18736,,,17976,,,17969,,,16500,,,19252,,,21225,,,23258,,,24505,,,23716,,,22402,,,21556,,,25400,,,30186,,,,,,Requesting a licence or consent,https://services.intralinks.com/logon.html?clientID=3997623225,Data for submissions from the pharmaceutical industry to the Medicines and Healthcare products Regulatory Agency for licence variations.,,,Business,[not provided]
Department of Health and Social Care,DHSC,Public Health England,PHE,National Travel Health Network and Centre: bookings for yellow fever vaccination training,,,,,,,,,,,,,,,,,,,1527,,,1841,,,2473,,,3027,3027,,2010,1849,,2162,1859,180.00,1714,1340,,1430,1041,,1622,1335,,2096,1789,,2359,2004,,2503,2060,,1902,1645,,1067,1063,,,,,Booking events and resources,http://www.nathnac.org/pro/YFVCTraining.htm,Data for bookings for the online update and class-based yellow fever vaccination training.,,,[not provided],[not provided]
Department of Health and Social Care,DHSC,NHS Business Services Authority,NHSBSA,NHS Low Income Scheme: HC1 applications,,,,,,,395539,0,9.55,393689,0,10.27,392051,0,9.37,389590,0,9.32,389358,0,10.56,385069,0,11.48,384103,0,12.25,385031,0,11.91,385747,0,12.39,389071,0,11.84,383332,,12.02,385569,,12.45,383487,0,12.18,382609,0,12.57,382575,0,12.27,378159,0,12.22,379320,,12.2762,373097,0,12.8591,,,,"Requesting benefits, payments or loans",http://www.nhsbsa.nhs.uk/1125.aspx,"Data for applications for help with charges for prescriptions, dental treatment, opticians, travel and wigs from people who may be entitled to full or partial help if they have a low income.","Average cost per transaction includes:<br> - postage, excluding the cost of stationery<br> - staff (estimated cost of salaries, pensions and National Insurance contributions for staff directly involved in the process)<br> - overheads - includes all related administrative expenditure including management, information technology maintenance and estates; capital expenditure, including IT development costs and depreciation, are excluded<br> - stationery, printing and distribution.<br>Total cost figure may not be precise due to rounding.",Digital transactions are not used in the processing of HC1 application forms. ,Individuals,Taxpayers
Department of Health and Social Care,DHSC,Care Quality Commission,CQC,Care Quality Commission: notifications,,,,,,,,,,261860,5776,,271917,,,279942,,,281371,,,286198,,,291687,,,303475,,,325530,,,347592,,,360339,,,370577,,,379442,,,386314,36478,,398936,46164,,408624,54737,,421801,63226,,429484,70029,,,,,Providing information,http://www.cqc.org.uk/content/notifications,"Data for notifications to the CQC, about changes, events or incidents.",,,Business,[not provided]
Department of Health and Social Care,DHSC,Department of Health,DH,Nursery milk reimbursements,,,,,,,117300,,,118651,,,119283,,,107384,,3.56,98038,,3.55,98788,,3.03,99725,,2.80,100415,,2.31,99885,,2.30,99906,,2.38,101330,,2.40,102560,,2.43,105054,,2.39,106307,,,103310,,,86988,,,71620,,,59084,,,,,,"Requesting benefits, payments or loans",,"Data for payments for the cost of milk that's given to nursery age children by their carers (nurseries, childminders, day care settings).",,,Business,[not provided]
Department of Health and Social Care,DHSC,Public Health England,PHE,Online conference and event bookings,,,,,,,0,,,0,,,2000,,,5200,5200,,8400,8400,,12500,12500,,14300,14300,,14100,14100,,17400,17400,,14632,14632,,14823,14823,,14525,14525,,12366,12366,,13523,13523,,12317,12317,,13429,13429,,13921,13921,,13551,13551,,,,,Booking events and resources,https://www.phe-events.org.uk/,Data for online bookings for Public Health England conferences and events.,,,Individuals,Taxpayers
Department of Health and Social Care,DHSC,NHS Blood and Transplant,NHSBT,Organ donation: registrations,,,,,,,,,,,,,,,,3394839,,0.37,4376276,,0.29,4609030,,0.25,3894616,701412,0.25,3325779,1100155,0.25,2552958,1413403,0.27,2458418,1342381,0.26,2327597,1293888,0.35,2038875,1181548,0.33,3552197,,0.22,3538700,,0.44,3270969,,0.34,3106041,,0.37,1508736,,,1437300,,,,,,Registering,http://www.organdonation.nhs.uk/,Data for registrations by people wishing to donate their organs after they die.,"The reduction in cost per transaction for organ donation is due to a small decrease in total costs, combined with a large increase in the number of registrations in mid-2013.",An update to the registration system has enabled more accurate and granular data to be provided from April to June 2014. This resulted in a reduction in the number of registrations and a significant increase in the number of updates. ,Individuals,Taxpayers
Department of Health and Social Care,DHSC,NHS Blood and Transplant,NHSBT,Updates to the Organ Donation Register,,,,,,,,,,5460,,,18784,,,26830,,,34241,,0.29,723023,,0.25,1305952,,0.25,1912587,37744,0.25,2604377,261603,0.27,2706155,555234,0.26,2790719,619213,0.35,3200925,1037641,0.33,3302647,1129461,0.22,3476010,1229291,0.44,3057847,,0.34,2265291,,0.37,2104304,,,2155862,,,,,,Amending/deleting information,http://www.organdonation.nhs.uk/,Data for updates to donor details on the Organ Donation Register.,Total cost figure may not be prcise due to rounding.,An update to the registration system has enabled more accurate and granular data to be provided from April to June 2014. This resulted in a reduction in the number of registrations and a significant increase in the number of updates. ,Individuals,Taxpayers
Department of Health and Social Care,DHSC,NHS Blood and Transplant,NHSBT,Removals of details from the Organ Donation Register,,,,,,,,,,57080,,,57988,,,54750,,,28955,,0.29,12333,,0.25,12204,,0.25,12747,6347,0.25,14207,8868,0.27,23601,19259,0.26,22930,19511,0.35,22568,19982,0.33,20701,19218,0.22,9999,8423,0.44,8822,,0.34,7356,,0.37,7205,,,7419,,,,,,Amending/deleting information,https://www.organdonation.nhs.uk/how_to_become_a_donor/registration/removal_form.asp,Data for donors removing their details from the Organ Donation Register.,,,Individuals,Taxpayers
Department of Health and Social Care,DHSC,Department of Health,DH,Overseas healthcare: customer reimbursements (A25b payments),,,,,,,22360,,,,,,23118,,,21110,,,17616,,,16563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Requesting benefits, payments or loans",,Data for reimbursements and adjustments where a citizen has been incorrectly charged for overseas healthcare.,,,Individuals,[not provided]
Department of Health and Social Care,DHSC,Department of Health,DH,Overseas healthcare: insurance company reimbursements (A25b payments),,,,,,,3891,,,,,,4419,,,5966,,,8153,,,9059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Requesting benefits, payments or loans",,Data for reimbursements to insurance companies where their policies are used to cover health costs that should have been covered by the European Health Insurance Card (EHIC).,,,Business,[not provided]
Department of Health and Social Care,DHSC,Department of Health,DH,Overseas healthcare: provisional replacement certificates (PRCs),,,,,,,11766,,,,,,11655,,,10438,,,10509,,,10390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,Data for issues of provisional replacement certificates when a citizen has lost or forgotten their European Health Insurance Card (EHIC).,,,Individuals,[not provided]
Department of Health and Social Care,DHSC,Department of Health,DH,Overseas healthcare: residual E106 numbers issued,,,,,,,557,,,,,,2027,,,1715,,,1251,,,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,Data for residual E106 numbers issued to citizens below retirement age who are going to live abroad (no longer issued).,,"The number of transactions represents the numbers issued by the Overseas Healthcare Team, and not the total number of applications.",Individuals,[not provided]
Department of Health and Social Care,DHSC,Department of Health,DH,Overseas healthcare: S1 numbers issued,,,,,,,741,,,,,,1491,,,1767,,,2316,,,2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,Data for S1 numbers issued mainly for pensioners and posted workers confirming that the UK remains responsible for the holder’s health costs when living in another European Economic Area (EEA) country.,,"The number of transactions represents the numbers issued by the Overseas Healthcare Team, and not the total number of applications.",Individuals,[not provided]
Department of Health and Social Care,DHSC,Department of Health,DH,Overseas healthcare: S2 numbers issued,,,,,,,972,,,,,,1229,,,1167,,,1309,,,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,Data for S2 numbers issued for citizens who wish to go to another country specifically for planned treatment.,,"The number of transactions represents the numbers issued by the Overseas Healthcare Team, and not the total number of applications.",Individuals,[not provided]
Department of Health and Social Care,DHSC,Human Tissue Authority,HTA,Preparation Process Dossiers (PPDs),,,,,,,,,,16,,,15,,,14,,,20,,,19,,,29,,,33,,,34,,,38,,,42,,,,,,,,,,,,,,,27,,,27,,,42,,,,,,,,"Data for ppds submitted to the HTA, which assist the review of process validation in the tissue for patient treatment sector.",,,[not provided],Taxpayers
Department of Health and Social Care,DHSC,NHS Business Services Authority,NHSBSA,Prescriptions: prepayment certificates issued,,,,,,,1291663,747570,2.33,1312152,771444,2.57,1311731,782490,2.34,1316164,795767,2.35,1332614,818981,2.46,1346613,839294,2.66,1385189,875408,2.60,1403022,919621,2.52,1416681,976776,2.52,1449953,1050574,2.41,1458414,1107208,2.44,1475308,1140174,2.50,1529531,1196487,2.46,1536147,1221882,2.52,1573426,1240074,2.45,1569629,1240280,2.42,1524478,1202764,2.5104,1489944,1163921,2.6200,,,,Making a payment,http://www.nhsbsa.nhs.uk/1127.aspx,"Data for advance payments processed for 3 or 12 months of prescriptions, and for refunds due to a change in circumstances.","The administration of prepayment certificates, medical exemption certificates (MEDEX) and maternity exemption (MATEX) certificates is a single process, so costs have been apportioned according to application volumes.<br>Average cost per transaction includes:<br> - postage, excluding the cost of stationery<br> - staff (estimated cost of salaries, pensions and National Insurance contributions for staff directly involved in the process)<br> - overheads - all related administrative expenditure, including management, information technology maintenance and estates; capital expenditure, including IT development costs and depreciation, are excluded<br> - printing and distribution.<br>Total cost figure may not be precise due to rounding.",The number of transactions includes all transactions processed including those where the customer has received a refund at a later date due to a change in their circumstances.  ,Individuals,Taxpayers
Department of Health and Social Care,DHSC,Public Health England,PHE,National Travel Health Network and Centre: orders for publications,,,,,,,,,,,,,2468,,,3441,,,4239,,,5101,,,8331,,,8078,734,,11644,5361,,10783,6086,390.00,11488,10540,,11472,11472,,8240,8240,,9745,9745,,5489,5489,,5097,5097,,4080,4080,,2213,2213,,,,,Ordering goods,https://connect3.communisis.com/NHS/Public/Catalogue.aspx,Data for orders for travel health publications.,,Currently only 3 items in the catalogue.,[not provided],[not provided]
Department of Health and Social Care,DHSC,Public Health England,PHE,Radiation Protection Services,,,,,,,,,,,,,,,,,,,945,555,,819,486,,1754,1028,,1603,1041,,1988,1220,,2384,1475,,1644,1122,,1604,1069,,1306,877,,1230,861,,1375,1058,,1367,1061,,1332,1030,,1168,868,,,,,,https://www.phe-protectionservices.org.uk/services,"Data for orders for laboratory and technical services, and training from Radiation Protection Services, annual Radon forum and emergency response courses.",,,[not provided],[not provided]
Department of Health and Social Care,DHSC,Public Health England,PHE,Orders for radon risk reports,,,,,,,,,,16000,,,16000,,,16287,,,16574,,,17240,,,17758,,,17523,,,,,,,,,,,,,,,,,,14989,14961,,14318,14280,,13709,13572,,13115,12986,,13430,13290,,,,,Ordering goods,http://www.ukradon.org/services/address_search,Data for orders of reports giving the estimated probability that an address is above the action level for radon.,,,[not provided],[not provided]
Department of Health and Social Care,DHSC,Human Fertilisation and Embryology Authority,HFEA,"Re-registration as an identificable sperm, egg or embryo donor",,,,,,,,,,11,,,12,,,10,,5.75,9,,5.75,8,,5.75,12,,5.75,13,,5.75,12,,,18,,5.75,13,,5.75,14,,5.75,12,,,7,,,7,,,7,,,8,,,,,,,,,,http://www.hfea.gov.uk/1973.html,"Data for sperm, egg and embryo donors re-registering so as to be identifiable to anyone born as a result of the donation.",Cost is stated for correspondence only and does not include resource time cost.,,Individuals,[not provided]
Department of Health and Social Care,DHSC,Public Health England,PHE,Alcohol Learning Resources: registrations for e-learning,,,,,,,,,,1300,,,132,,,627,,,578,,,402,,,418,,,407,,,256,,,271,,,294,,,277,277,,330,330,,407,407,,517,517,,590,590,,600,600,,653,653,,,,,Registering,http://www.alcohollearningcentre.org.uk/eLearning/,Data for registrations to use the Alcohol Learning Resources e-learning services.,,,[not provided],[not provided]
Department of Health and Social Care,DHSC,Care Quality Commission,CQC,Care Quality Commission: registrations of health services managers,,,,,,,12684,,,14099,,,,,,16717,,,19104,,,19903,,,20811,,,21443,,,20650,,,21276,,,22197,,,22399,,,22488,,,22261,655,,21014,815,,19827,1000,,19548,1114,,18930,1215,,,,,Registering,,Data for registrations as a CQC manager.,,,Business,[not provided]
Department of Health and Social Care,DHSC,Public Health England,PHE,"Registrations, updates or deletions of rehab provider details on Rehab Online",,,,,,,,,,0,,,0,,,16,,,119,,,145,,,174,,,177,,,80,,,76,,,71,,,64,64,,73,73,,64,64,,,,,,,,,,,,,,,,,Registering,http://www.rehab-online.org.uk/providers/registration.aspx,"Data for registrations, updates or deletions of the details of rehab providers listed on Rehab Online.",,,Business,[not provided]
Department of Health and Social Care,DHSC,Care Quality Commission,CQC,Care Quality Commission: registrations of health services providers,,,,,,,4982,,,13462,7784,,,,,6785,,,7105,,,7032,,,7541,,,8061,,,8447,,,9218,,,9582,,,9525,,,9203,,,8596,943,,7790,1623,,7129,2351,,6883,2865,,6655,3170,,,,,Registering,,Data for registrations by CQC providers.,,,Business,[not provided]
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Registrations to MHRA Portal:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,164,,,142,,,122,,,77,,,70,,,100,,,98,,,,,,,http://portal.mhra.gov.uk/forms/registration/subscribing_organisation_registration_process.pdf,Data for registrations to the Medicines and Healthcare products Regulatory Agency (MHRA) Portal.,,,Business,Taxpayers
Department of Health and Social Care,DHSC,Human Fertilisation and Embryology Authority,HFEA,Orders for the Human Fertilisation and Embryology Authority's guide to IVF,,,,,,,,,,260,,,645,,,1907,,0.58,2215,,0.58,2134,,0.58,1794,,0.58,567,,0.64,1901,,,1939,,0.64,1939,,0.58,2013,,0.58,371,,,268,,,268,,,268,,,261,,,,,,,,,Ordering goods,http://www.hfea.gov.uk/fertility-treatment-guide.html,Data for orders for Human Fertilisation and Embryology Authority's 'Getting Started' guide to IVF.,,,Individuals,[not provided]
Department of Health and Social Care,DHSC,Health Research Authority,HRA,Health research: applications to the Research Ethics Committees,,,,,,,,,,5939,,,6009,,,6018,,,6105,1498,,6005,2963,,5980,4427,,5896,5896,,5846,5846,,5852,5852,,5843,5843,,5646,,,5646,5248,,5646,5198,,5646,5164,,5646,5167,,5501,,,5411,,,,,,,https://www.myresearchproject.org.uk/,Data for research applications to the Research Ethics Committees.,,,Business,[not provided]
Department of Health and Social Care,DHSC,Human Tissue Authority,HTA,Human Tissue Authority: submissions using the online portal,,,,,,,,,,1577,,,2154,,,2417,,,2458,,1.89,2425,,1.89,2192,,2.12,1926,,,1841,,2.53,,1831,,,,,,,,,,,,,,,,,,,,2038,,,2078,,,,,,,https://portal.hta.gov.uk,"Data for forms submitted through the portal including licence applications, serious adverse event and reaction reports, reportable incidents, annual activity returns, compliance updates, assessor reports.",,,[not provided],Taxpayers
Department of Health and Social Care,DHSC,Medicines and Healthcare products Regulatory Agency,MHRA,Reports of serious adverse blood reactions and events (SABRE),,,,,,,1800,,,1383,,,1289,,,1277,,,1248,,,1316,,,1345,,,1346,,,1324,,,1264,,,1274,,,1935,,,2470,,,3041,,,3620,,,3673,,,3778,,,3815,,,,,,Providing information,http://www.mhra.gov.uk/Safetyinformation/Reportingsafetyproblems/Blood/index.htm,Data for reporting of adverse incidents relating to blood products to the Medicines and Healthcare products Regulatory Agency.,,,Business,[not provided]
Department of Health and Social Care,DHSC,NHS Digital,,Requests for data from the 1939 Register Service,,,,,,,,,,264,,,280,,,290,,,275,,,243,,,234,,,231,,,240,,,239,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Requesting information,http://www.hscic.gov.uk/register-service,Data for requests for data held by the Register Service on over 30 million people living in England and Wales in 1939.,,,Business,Fees and charges
Department of Health and Social Care,DHSC,NHS Digital,,Tracing Service,,,,,,,,,,106,,,123,,,113,,,101,,,34,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Requesting information,,Data for tracing individuals using demographic data to help charities establish contact.,,,[not provided],[not provided]
Department of Health and Social Care,DHSC,Public Health England,PHE,UK Radon: workplace measurement packs,,,,,,,,,,130,,,132,,,162,,,166,,,174,,,178,,,143,,,,,,,,,,,,,,,,,,289,233,,300,261,,322,291,,309,289,,349,327,,,,,Ordering goods,http://www.ukradon.org/services/orderworkplace,Data for online orders for radon workplace measurement packs.,,,[not provided],[not provided]
Department of Health and Social Care,DHSC,NHS England,,NHS e-Referrals,,,,,,,,,,,,,12059732,,,12213950,,,12462751,,,13614630,,,13773523,,,13873274,,,13958591,,,13103320,7369551,,11394989,8569133,,9727424,,,8947642,,,8135986,9836799,,9112889,9969649,,10091834,10091834,,9263252,9263252,,8337885,8337885,,,,,,https://digital.nhs.uk/referrals,Data for referrals from GPs for outpatient appointments (first appointment only) with doctors and dentists.,,Data is only available for the digital transactions until end of May 2015. A new system has been implemented and data is not yet available. ,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Academic Technology Approval Scheme (ATAS) applications,15364,,,17000,17000,,16891,,,18184,,,18333,,,18545,,,19037,,,20513,,,20810,,,20614,,,20417,,,19933,,,19463,,,19498,,,19601,,,,,,,,,,,,18970,,,,,,,,,Providing information,https://www.gov.uk/academic-technology-approval-scheme,Data for checks carried out under the Academic Technology Approval Scheme.,,,Business,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,"Additions and corrections to the consular register of births, deaths, marriages or civil partnerships",,,,,,,,,,70,,,53,,,45,,,67,,,85,,,73,0,,63,0,,35,0,,8,0,,8,0,,6,0,,8,0,,,,,,,,,,,,,,,,,,,,Amending/deleting information,,"Data for additions and corrections to the consular register of births, deaths, marriages or civil partnerships.",,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Applications for Chevening Scholarships,26000,25000,,21000,21000,,20842,,,20928,,,22140,,,29512,,,24774,,,27620,,,36800,,,36800,,2.00,39700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Requesting benefits, payments or loans",http://www.chevening.org/apply/,Data for applications (successful or otherwise) from overseas students for funding to take postgraduate courses in the UK.,This cost figure supplied covers the online transaction only; staff processing time and other offline costs are not included.,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Legalisation and Apostille certificate applications,90406,,,98705,,,128240,,,418685,,,428859,,,434966,,,448487,,,456092,,,464089,,,468223,0,,472256,0,,475698,0,,477397,0,,480121,0,,482309,0,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.gov.uk/get-document-legalised,"Data for public documents ‘legalised’ by the UK government confirming that a UK public official’s signature, seal or stamp on the document is genuine.",,,Individuals,Fees and charges
